"node_index","node_id","node_type","node_name","node_description","indication","mechanism_of_action","node_source"
"94","DRUG_2110e440ad","Drug","Thuốc điều trị thiếu máu","Dùng theo chỉ định của bác sĩ. | Dùng theo chỉ định của bác sĩ để cải thiện vận chuyển oxy.","Điều trị thiếu máu do suy thận.","Tăng sản xuất hồng cầu hoặc bổ sung sắt/hormon kích thích tạo hồng cầu. | Tăng sản xuất hồng cầu hoặc bổ sung sắt/hormon kích thích hồng cầu.","https://web.archive.org/web/http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html | http://soyte.hatinh.gov.vn/tin-tuc-su-kien/pho-bien-kien-thuc/dau-hieu-benh-than-va-suy-than-.html"
"95","DRUG_2acf2aebaf","Drug","Thuốc giảm đau triệu chứng","Cần kết hợp với kiểm soát đường huyết và điều trị theo cơ chế bệnh sinh.","Giảm đau thần kinh ngoại biên, cải thiện chất lượng sống.","Tác động trực tiếp lên cảm giác đau, không điều trị gốc bệnh.","https://bachmai.gov.vn/bai-viet/dai-thao-duong-bien-chung-tim-mach-va-than-kinh-ngoai-bien-sat-thu-tham-lang?id=994f4df4-95c1-4760-8aee-8d07a69f9fe1"
"96","DRUG_2b22197051","Drug","Adrenalin","Liều cao có thể gây tử vong do rối loạn nhịp tim hoặc hội chứng phổi ức chế.","Dùng trong cấp cứu hen nặng.","Tác động lên thụ thể alpha và beta làm giãn phế quản nhanh chóng.","https://www.vinmec.com/vie/bai-viet/bien-chung-lau-dai-cua-benh-hen-phe-quan-vi"
"97","DRUG_2bc77ff53d","Drug","Thuốc kháng viêm không steroid","Liều lượng thường dùng là 10 - 30 mg mỗi ngày, uống theo chỉ định.","Dùng để giảm viêm đường thở khi không dùng corticosteroid.","Ức chế enzyme cyclooxygenase, làm giảm sản sinh prostaglandin gây viêm.","https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/tag/hen-phe-quan"
"98","DRUG_2e4cab030a","Drug","Thuốc corticoid","Sử dụng lâu dài có thể gây hội chứng Cushing, loãng xương, viêm loét dạ dày. | Các bác sĩ sẽ lựa chọn và kê đơn cho người bệnh.","Dùng để kiểm soát viêm đường hô hấp. | Giảm viêm trong đường thở.","Ức chế phản ứng miễn dịch gây viêm. | Ức chế phản ứng viêm của hệ miễn dịch.","https://www.vinmec.com/vie/bai-viet/bien-chung-lau-dai-cua-benh-hen-phe-quan-vi | https://www.vinmec.com/vie/bai-viet/benh-phoi-tac-nghen-man-tinh-copd-vi"
"99","DRUG_30d2cb2145","Drug","Thuốc bổ sung sắt","Chỉ sử dụng sau khi xét nghiệm sắt trong máu, tránh dư thừa.","Điều trị thiếu máu do suy thận nặng.","Cung cấp nguyên liệu cho quá trình sản xuất hồng cầu, nhưng cần kiểm soát liều lượng để tránh tổn thương gan.","https://www.vinmec.com/vie/bai-viet/dieu-tri-tang-huyet-ap-kem-suy-man-vi"
"100","DRUG_32cc576002","Drug","Nitroglycerin","Liều truyền: 5-100 mcg/phút. | Liều dùng: Truyền TM 5-100 mcg/phút.","Dùng cho tăng huyết áp cấp cứu, đặc biệt trong suy tim hoặc đột quỵ. | Dùng cho tăng huyết áp cấp cứu, đặc biệt trong suy tim hoặc đột quỵ. | Dùng trong tình huống cấp cứu tăng huyết áp, đặc biệt khi có nhồi máu cơ tim. | Dùng trong tình huống cấp cứu tăng huyết áp ác tính hoặc suy tim.","Giãn mạch trực tiếp, giảm tải trọng tim.","https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap/ | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap/ | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap/ | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap/"
"101","DRUG_3308b9ae42","Drug","Salmeterol","Liều: dạng xịt mỗi liều chứa 25mcg, xịt ngày 2 lần mỗi lần 2 liều.","Điều trị duy trì ở bệnh nhân BPTNMT giai đoạn nặng.","Cường beta-2 adrenergic tác dụng kéo dài, giãn phế quản bền vững.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html"
"102","DRUG_34e344debf","Drug","Thuốc giãn phế quản tác dụng nhanh","Không có liều lượng cụ thể trong văn bản. | Không mô tả","Giảm triệu chứng khó thở cấp tính trong COPD. | Điều trị triệu chứng khó thở cấp tính trong COPD. | Giảm triệu chứng khó thở cấp tính.","Giảm co thắt cơ trơn đường thở, cải thiện lưu thông khí. | Tác động nhanh lên cơ trơn đường thở để làm giãn rộng. | Tác động nhanh lên cơ trơn đường thở để giãn rộng.","https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b | https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b"
"103","DRUG_36e76bf03a","Drug","Thiazide","Liều dùng tùy theo chỉ định, cần theo dõi đường huyết thường xuyên.","Dùng trong điều trị tăng huyết áp, nhưng gây tăng glucose máu.","Tăng tái hấp thu natri và giảm thải nước, ảnh hưởng đến chuyển hóa glucose.","https://web.archive.org/web/https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/"
"104","DRUG_3792703dc0","Drug","Methylprednisolone","Liều dùng thường là tiêm tĩnh mạch hoặc truyền tĩnh mạch.","Dùng để kiểm soát viêm cấp tính ở phế quản trong cơn hen ác tính.","Corticosteroid, ức chế phản ứng viêm và giảm tiết chất nhầy.","https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
"105","DRUG_40ab135cc3","Drug","Thuốc chẹn thụ thể angiotensin","Liều lượng theo chỉ định, cần theo dõi chức năng thận.","Điều trị tăng huyết áp và bảo vệ chức năng thận.","Chặn thụ thể angiotensin II, làm giãn mạch máu và giảm huyết áp.","https://web.archive.org/web/https://medlatec.vn/tin-tuc/hep-dong-mach-than-la-gi-muc-do-nguy-hiem-va-phuong-phap-dieu-tri"
"106","DRUG_41620342cf","Drug","Thuốc đường hít kết hợp","Sử dụng theo chỉ định, thường cho người có cơn hen nặng hoặc khó kiểm soát.","Dùng để điều trị đa dạng triệu chứng hen và tăng hiệu quả điều trị.","Kết hợp corticoid và thuốc giãn phế quản trong một thiết bị hít.","http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html"
"107","DRUG_4235ad3235","Drug","Thuốc hạ đường huyết không nêu tên","Liều lượng không được nêu rõ, nhưng có thể gây hạ glucose máu tiềm tàng hoặc hôn mê.","Dùng để điều trị đái tháo đường.","Không mô tả cụ thể trong văn bản, nhưng gây hạ glucose máu nếu dùng quá liều.","https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
"108","DRUG_4251fb8f4e","Drug","Thuốc chẹn thụ thể Angiotensin II","Tương tự ACE, dùng cho bệnh nhân có suy tim hoặc suy thận.","Điều trị tăng huyết áp kèm bệnh tim mạch.","Chặn tác động của angiotensin II lên các thụ thể AT1, làm giãn mạch và giảm huyết áp.","https://tamanhhospital.vn/tang-huyet-ap-thu-phat/"
"109","DRUG_45b2559f4e","Drug","Budesonide","Liều: nang khí dung 0,5mg, khí dung ngày 2-4 nang chia 2 lần.","Điều trị BPTNMT giai đoạn nặng với đợt cấp lặp đi lặp lại.","Corticosteroid dạng phun hít, giảm viêm đường thở.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-phoi-tac-nghen-man-tinh-nd14577.html"
"110","DRUG_476dcbf7e1","Drug","ACE-I","Cần tuân thủ chỉ định của bác sĩ, không tự ý bỏ thuốc.","Điều trị suy tim để giảm gánh nặng cho tim và cải thiện chức năng tim. | Điều trị suy tim để giảm gánh nặng cho tim.","Ức chế men chuyển, làm giảm huyết áp và giảm tải cho cơ tim. | Ức chế men chuyển, làm giảm huyết áp và giảm tải cho tim.","https://bachmai.gov.vn/bai-viet/nhan-biet-dieu-tri-va-cham-soc-nguoi-benh-suy-tim?id=f55f8d26-9341-41d6-a243-00f543335069 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/nhan-biet-dieu-tri-va-cham-soc-nguoi-benh-suy-tim?id=f55f8d26-9341-41d6-a243-00f543335069"
"111","DRUG_49dd521a57","Drug","Leukotrien","Dạng uống, dùng hàng ngày để kiểm soát triệu chứng.","Giảm phản ứng viêm do dị nguyên.","Ức chế tổng hợp leukotriene gây co thắt phế quản.","https://www.vinmec.com/vie/benh/hen-phe-quan-2949"
"112","DRUG_49dd554d30","Drug","Thuốc hạ áp khác","Cần điều chỉnh liều lượng và theo dõi tác dụng phụ nghiêm trọng.","Dùng khi ACEi/ARB không hiệu quả hoặc gây tác dụng phụ.","Cơ chế đa dạng, tùy theo loại thuốc (chẹn beta, lợi tiểu...).","https://web.archive.org/web/https://tamanhhospital.vn/tang-huyet-ap-trong-benh-than/"
"113","DRUG_4acf49b404","Drug","Ceftriaxone","Liều lượng: 1-2 gram/ngày, truyền tĩnh mạch.","Điều trị nhiễm khuẩn nặng do vi khuẩn Gram âm.","Ức chế tổng hợp peptidoglycan của tế bào vi khuẩn.","https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html"
"114","DRUG_4cda309909","Drug","ARNI","Cần tuân thủ chỉ định của bác sĩ, không tự ý bỏ thuốc.","Điều trị suy tim, đặc biệt trong các trường hợp nặng.","Ức chế thụ thể, làm giảm gánh nặng cho tim và cải thiện chức năng. | Ức chế thụ thể, làm giảm gánh nặng cho cơ tim và cải thiện lưu lượng máu.","https://bachmai.gov.vn/bai-viet/nhan-biet-dieu-tri-va-cham-soc-nguoi-benh-suy-tim?id=f55f8d26-9341-41d6-a243-00f543335069 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/nhan-biet-dieu-tri-va-cham-soc-nguoi-benh-suy-tim?id=f55f8d26-9341-41d6-a243-00f543335069"
"115","DRUG_4dc4824c12","Drug","Thuốc ức chế men chuyển","Liều lượng không được nêu rõ trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản.","Điều trị tăng huyết áp.","Ức chế enzyme chuyển đổi angiotensin, làm giảm sản sinh angiotensin II – chất gây co mạch và tăng huyết áp.","https://chanthuongvacotsong.bachmai.gov.vn/cao-huyet-ap-am-tham-ma-rat-hiem/"
"116","DRUG_52ea1bb9bf","Drug","Thuốc corticoid đường hít","Không có liều lượng cụ thể trong văn bản. | Không mô tả","Giảm viêm trong đường thở, cải thiện chức năng hô hấp. | Giảm viêm đường thở trong COPD. | Giảm viêm đường thở.","Ức chế phản ứng viêm tại chỗ trong đường thở. | Ức chế phản ứng viêm tại chỗ trong phổi. | Ức chế phản ứng viêm tại chỗ trong phổi.","https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b | https://bachmai.gov.vn/bai-viet/tho-may-khong-xam-nhap-trong-dieu-tri-benh-phoi-tac-nghen-man-tinh?id=828a5ae0-e152-ef2d-e6b5-48a6c8bafe5b"
"117","DRUG_547e86d5c9","Drug","Pioglitazon","Liều khởi đầu thường là 15 mg/ngày, có thể tăng lên đến 45 mg/ngày nếu cần thiết.","Chỉ định điều trị đái tháo đường típ 2.","Tăng nhạy cảm insulin và giảm sản xuất glucose ở gan.","https://web.archive.org/web/https://www.benhviendakhoasongma.gov.vn/bai-viet/benh-dai-thao-duong-220"
"118","DRUG_5522beee7a","Drug","Dextrose 50%","Liều ban đầu từ 10 - 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. Tiếp tục truyền glucose 5 – 10 g/giờ. | Liều ban đầu từ 10 – 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. | Liều ban đầu từ 10 - 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. Tiếp tục truyền glucose 5 – 10 g/giờ. | Liều ban đầu từ 10 - 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. Tiếp tục truyền glucose 5 – 10 g/giờ. | Liều ban đầu từ 10 - 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. Tiếp tục truyền glucose 5 – 10 g/giờ. | Liều ban đầu từ 10 - 25g, sau đó truyền glucose 30% với liều 5 – 10 g/giờ cho đến khi hồi phục. | Liều ban đầu từ 10 – 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. | Liều ban đầu từ 10 - 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch. Tiếp tục truyền glucose 5 – 10 g/giờ. | Liều ban đầu từ 10 - 25g, sau đó truyền glucose 30% với liều 5 – 10 g/giờ cho đến khi hồi phục. | Liều ban đầu từ 10 – 25g (trong dung dịch Dextrose 50%) tiêm tĩnh mạch.","Chỉ định truyền tĩnh mạch trong trường hợp hạ glucose máu nặng. | Dùng để truyền tĩnh mạch trong cấp cứu hạ glucose máu. | Chỉ định truyền tĩnh mạch trong trường hợp hạ glucose máu nặng. | Chỉ định truyền tĩnh mạch trong trường hợp hạ glucose máu nặng. | Chỉ định truyền tĩnh mạch trong trường hợp hạ glucose máu nặng. | Dùng để truyền tĩnh mạch trong cấp cứu hạ glucose máu. | Chỉ định truyền tĩnh mạch để cấp cứu hạ glucose máu nặng. | Chỉ định truyền tĩnh mạch trong trường hợp hạ glucose máu nặng. | Chỉ định truyền tĩnh mạch để cấp cứu hạ glucose máu nặng. | Dùng để truyền tĩnh mạch trong cấp cứu hạ glucose máu.","Cung cấp glucose trực tiếp vào máu để nâng đường huyết nhanh chóng. | Cung cấp glucose nhanh chóng vào cơ thể. | Cung cấp glucose trực tiếp vào máu để nâng đường huyết nhanh chóng. | Cung cấp glucose trực tiếp vào máu để nâng đường huyết nhanh chóng. | Cung cấp glucose trực tiếp vào máu để nâng đường huyết nhanh chóng. | Cung cấp glucose nhanh chóng vào cơ thể. | Cung cấp đường trực tiếp vào máu để tăng nhanh lượng glucose huyết tương. | Cung cấp glucose trực tiếp vào máu để nâng đường huyết nhanh chóng. | Cung cấp đường trực tiếp vào máu để tăng nhanh lượng glucose huyết tương. | Cung cấp glucose nhanh chóng vào cơ thể.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/ | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-benh-dai-thao-duong-tuyp-2-nd14582.html | https://chanthuongvacotsong.bachmai.gov.vn/huong-dan-chan-doan-va-dieu-tri-dai-thao-duong-type-2/"
