relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,evidence,source_url
HAS_COMPLICATION,gây ra biến chứng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,289,COMP_a59398cbd0,Complication,Toan ceton,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,toan ceton do ĐTĐ,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_COMPLICATION,gây ra biến chứng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,290,COMP_6a59e16b5f,Complication,Biến chứng mạch máu,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"biến chứng mạch máu, phẫu thuật ở trẻ em và thanh thiếu niên ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_COMPLICATION,gây ra biến chứng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,291,COMP_09c68bdb01,Complication,Suy dinh dưỡng,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"dinh dưỡng, vận động cho trẻ và các phương pháp giao tiếp, tư vấn cho gia đình bệnh nhi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_COMPLICATION,gây ra biến chứng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,292,COMP_76949db1dc,Complication,Tổn thương thần kinh,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"biến chứng mạch máu, phẫu thuật ở trẻ em và thanh thiếu niên ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
HAS_COMPLICATION,gây ra biến chứng,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,293,COMP_2138243b08,Complication,Suy thận cấp tính,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"biến chứng mạch máu, phẫu thuật ở trẻ em và thanh thiếu niên ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
AFFECTS_POPULATION,đối tượng nguy cơ cao/bệnh nền,472,DEMO_1c29475395,Demographic,Trẻ em và thanh thiếu niên,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"đái tháo đường (ĐTĐ) típ 1 hay còn gọi là đái tháo đường phụ thuộc Insulin, thường gặp ở trẻ em và thanh thiếu niên",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
AFFECTS_POPULATION,đối tượng nguy cơ cao/bệnh nền,449,DEMO_aa6ccd9851,Demographic,Trẻ em dưới 20 tuổi,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,Ước tính có khoảng 39.500 trẻ em và thanh thiếu niên dưới 20 tuổi đang sống chung với ĐTĐ típ 1 ở các nước đang phát triển tại Châu Á,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
AFFECTS_POPULATION,đối tượng nguy cơ cao/bệnh nền,450,DEMO_3ee91d734e,Demographic,Người Việt Nam,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"Tại Việt Nam, theo số liệu thống kê từ Bộ Y tế, ĐTĐ típ 1 chiếm 90% bệnh đái tháo đường ở trẻ em",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
AFFECTS_POPULATION,đối tượng nguy cơ cao/bệnh nền,451,DEMO_afe74ee5c7,Demographic,Trẻ em tại các nước đang phát triển,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,Ước tính có khoảng 39.500 trẻ em và thanh thiếu niên dưới 20 tuổi đang sống chung với ĐTĐ típ 1 ở các nước đang phát triển tại Châu Á,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
AFFECTS_POPULATION,đối tượng nguy cơ cao/bệnh nền,452,DEMO_aa59cb835b,Demographic,Trẻ em tại bệnh viện tuyến cuối,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,Dữ liệu từ các bệnh viện tuyến cuối về trẻ em cũng cho thấy có gần 2.000 trẻ được chẩn đoán ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
INCREASES_RISK_OF,làm tăng nguy cơ,371,RISK_f3c0e7242c,RiskFactor,Di truyền tự miễn,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"đái tháo đường (ĐTĐ) típ 1 hay còn gọi là đái tháo đường phụ thuộc Insulin, thường gặp ở trẻ em và thanh thiếu niên, do tuyến tụy không còn khả năng sản xuất đủ Insulin",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
INCREASES_RISK_OF,làm tăng nguy cơ,372,RISK_fee0102222,RiskFactor,Thiếu dinh dưỡng,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"dinh dưỡng, vận động cho trẻ và các phương pháp giao tiếp, tư vấn cho gia đình bệnh nhi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
INCREASES_RISK_OF,làm tăng nguy cơ,373,RISK_cfd4ea4fc2,RiskFactor,Thiếu giáo dục sức khỏe,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1, toan ceton do ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
INCREASES_RISK_OF,làm tăng nguy cơ,374,RISK_80af14539b,RiskFactor,Thiếu nguồn lực y tế,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,chương trình CDiC... nhằm cung cấp dịch vụ chăm sóc toàn diện cho trẻ em và thanh thiếu niên mắc bệnh ĐTĐ típ 1 sống ở các nước với nguồn lực hạn chế,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
INCREASES_RISK_OF,làm tăng nguy cơ,375,RISK_633f6be483,RiskFactor,Thiếu giám sát định kỳ,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"tầm quan trọng của theo dõi glucose máu, ứng dụng công nghệ đo đường huyết liên tục (CGM)",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
TREATS,điều trị,113,DRUG_8ac02a1139,Drug,Insulin,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"đái tháo đường (ĐTĐ) típ 1 hay còn gọi là đái tháo đường phụ thuộc Insulin, thường gặp ở trẻ em và thanh thiếu niên, do tuyến tụy không còn khả năng sản xuất đủ Insulin",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
TREATS,điều trị,106,DRUG_f114dd6be5,Drug,Insulin bơm thế hệ mới,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"bơm insulin thế hệ mới, quản lý toàn diện bệnh nhi trẻ tuổi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
TREATS,điều trị,107,DRUG_7c4431fc20,Drug,Insulin tiêm,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,phân tích hai ca bệnh lâm sàng về trường hợp bệnh nhi dùng CGM và tiêm Insulin,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
TREATS,điều trị,108,DRUG_904bb41fb2,Drug,Insulin liên tục,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"bơm insulin thế hệ mới, quản lý toàn diện bệnh nhi trẻ tuổi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
TREATS,điều trị,109,DRUG_8fe0e02284,Drug,Insulin tiêm dưới da,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,phân tích hai ca bệnh lâm sàng về trường hợp bệnh nhi dùng CGM và tiêm Insulin,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
PART_OF_TREATMENT,là một phần phác đồ,516,INTE_9560a3104b,Intervention,Truyền dịch tĩnh mạch,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"truyền dịch tĩnh mạch, quản lý toàn diện bệnh nhi trẻ tuổi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
PART_OF_TREATMENT,là một phần phác đồ,517,INTE_ae0148ac40,Intervention,Quản lý dinh dưỡng,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"dinh dưỡng, vận động cho trẻ và các phương pháp giao tiếp, tư vấn cho gia đình bệnh nhi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
PART_OF_TREATMENT,là một phần phác đồ,518,INTE_49657d9201,Intervention,Giao tiếp với gia đình,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"dinh dưỡng, vận động cho trẻ và các phương pháp giao tiếp, tư vấn cho gia đình bệnh nhi",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
PART_OF_TREATMENT,là một phần phác đồ,519,INTE_a53c242acf,Intervention,Theo dõi glucose liên tục,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"ứng dụng công nghệ đo đường huyết liên tục (CGM), bơm insulin thế hệ mới",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
PART_OF_TREATMENT,là một phần phác đồ,520,INTE_0308cfc3a7,Intervention,Phẫu thuật mạch máu,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"biến chứng mạch máu, phẫu thuật ở trẻ em và thanh thiếu niên ĐTĐ",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
CAUSES,gây ra bệnh,579,PATH_b67efa05c5,Pathogen,Virus tự miễn,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,"đái tháo đường (ĐTĐ) típ 1 hay còn gọi là đái tháo đường phụ thuộc Insulin, thường gặp ở trẻ em và thanh thiếu niên, do tuyến tụy không còn khả năng sản xuất đủ Insulin",https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
CAUSES,gây ra bệnh,580,PATH_e42440345c,Pathogen,Kháng thể tự miễn,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
CAUSES,gây ra bệnh,581,PATH_c969ae430a,Pathogen,Kháng thể GAD65,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,0,E10,Disease,Bệnh đái tháo đường típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html,cơ chế bệnh sinh và các giai đoạn ĐTĐ típ 1,https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html
